" ['State', 'PowerGeneration'],"
"    ['Uttar Pradesh', 2477],"
"    ['Maharashtra',2972],"
"    ['Bihar', 4637],"
"    ['West Bengal', 7736],"
"    ['Madhya Pradesh', 7565],"
"    ['Tamil Nadu', 8958],"
"    ['Rajasthan',1012],"
"    ['Karnataka',3070],"
"    ['Gujarat', 3628],"
"    ['Andhra Pradesh', 6799],"
"    ['Odisha', 7358],"
"    ['Telangana', 6757],"
"    ['Kerala', 7677],"
"    ['Jharkhand', 6238],"
"    ['Assam', 9272],"
"    ['Punjab', 4236],"
"    ['Chhattisgarh', 2196],"
"    ['Haryana', 3081],"
"    ['Jammu and Kashmir', 926],"
"    ['Uttarakhand', 6752],"
"    ['Himachal Pradesh', 6509],"
"    ['Tripura', 332],"
"    ['Meghalaya', 4007],"
"    ['Manipur', 1756],"
"    ['Nagaland', 1602],"
"    ['Goa', 7723],"
"    ['Arunachal Pradesh', 2611],"
"    ['Mizoram', 1014],"
"    ['Sikkim', 7688],"
"    ['Delhi', 3235],"
"    ['Puducherry', 4464],"
"    ['Chandigarh', 4686],"
"    ['Andaman and Nicobar Islands', 9944],"
"    ['Dadra and Nagar Haveli', 2853],"
"    ['Daman and Diu', 2911],"
"    ['Lakshadweep', 929]"
